Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Equipment Room,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,1,2.0,2.05%,100.00,-5.20,11.00,200,-10,22,,,No,,,,,
,,Spec Item,"5"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Equipment Room,Ducting,N/A,Lin. Ft.,,"5"" Rigid Ducting",,Calc,1.75,6,10.5,10.78%,101.00,-10.50,8.00,1061,-110,84,,,,,,,,"5"""
,,Spec Item,"1"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Equipment Room,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.421,35,14.7,15.12%,100.00,-2.00,13.25,1474,-29,195,,,,,,,PEX,"1"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Equipment Room,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,18,4.7,4.86%,102.50,-10.50,10.00,485,-50,47,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Equipment Room,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,2,3.7,3.76%,102.50,-11.00,7.00,375,-40,26,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Equipment Room,Piping,N/A,Lin. Ft.,,,,Calc,0.27,3,0.8,0.83%,102.50,-11.00,6.70,83,-9,5,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Equipment Room,Plumbing Accessories,N/A,Each,,,,Estimate,2,1,2.0,2.05%,102.50,-11.00,6.70,205,-22,13,,,,,,,,
,,Spec Heading,Utility Room HVAC System,TRUE,,Chris,Updated,,,,Utility Room Head,,,,,,,,,,85.8,1.72%,103.69,-5.17,7.62,8893,-444,653,,,,,,,,
,,Spec Item,"AIR HANDLER, 12K BTU, VERT, 230VAC W/WATER VALVE, HT & FC",TRUE,,Chris,Updated,WP 3800,,104181-01,Utility Room Head,HVAC Air Handlers,230vac,Each,Technicold,RAV12HB-FC,,Manufacturer,36.5,1,36.5,42.56%,103.70,-5.40,6.70,3785,-197,245,,,No,,,,,
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Utility Room Head,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,1,2.0,2.33%,104.50,-1.10,11.00,209,-2,22,,,No,,,,,
,,Spec Item,"6"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Utility Room Head,Ducting,N/A,Lin. Ft.,,"6"" Rigid Ducting",,Calc,2.2,12,26.4,30.78%,103.70,-4.90,8.00,2738,-129,211,,,,,,,,"6"""
,,Spec Item,"4"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Utility Room Head,Ducting,N/A,Lin. Ft.,,"4"" Rigid Ducting",,Calc,1.4,6,8.4,9.79%,103.50,-4.90,8.00,869,-41,67,,,,,,,,"4"""
,,Spec Item,"1"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Utility Room Head,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.421,3,1.3,1.47%,103.20,-8.30,13.25,130,-10,17,,,,,,,PEX,"1"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Utility Room Head,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,18,4.7,5.52%,103.70,-5.90,10.00,491,-28,47,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Utility Room Head,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,2,3.7,4.27%,103.70,-5.50,7.00,380,-20,26,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Utility Room Head,Piping,N/A,Lin. Ft.,,,,Calc,0.27,3,0.8,0.94%,103.70,-5.50,6.70,84,-4,5,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Utility Room Head,Plumbing Accessories,N/A,Each,,,,Estimate,2,1,2.0,2.33%,103.70,-5.50,6.70,207,-11,13,,,,,,,,
,,Spec Heading,Aft Peaks / Lazarette HVAC,TRUE,,Chris,Updated,,,,Aft Bilge,,,,,,,,,,100.5,2.02%,105.92,-7.89,4.89,10642,-793,491,,,,,,,,
,,Spec Item,"Air Handler, 8K BTU 230VAC, Flow Control",TRUE,,Chris,Updated,WP 3800,Sideways,107649-01,Aft Bilge,HVAC Air Handlers,230vac,Each,Technicold,RA8B-FC,,Manufacturer,59,1,59.0,58.72%,105.50,-10.50,4.50,6225,-620,266,,,,,,,,
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Aft Bilge,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,1,2.0,1.99%,105.50,0.00,4.50,211,0,9,,,No,,,,,
,,Spec Item,"5"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Equipment Room,Ducting,N/A,Lin. Ft.,,"5"" Rigid Ducting",,Calc,1.75,4,7.0,6.97%,105.50,-8.00,5.00,739,-56,35,,,,,,,,"5"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Aft Bilge,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,22,5.8,5.76%,105.00,-8.50,6.00,608,-49,35,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Aft Bilge,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,2,3.7,3.64%,105.00,-10.50,5.50,384,-38,20,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Aft Bilge,Piping,N/A,Lin. Ft.,,,,Calc,0.27,3,0.8,0.81%,105.00,-10.50,5.50,85,-9,4,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Aft Bilge,Plumbing Accessories,N/A,Each,,,,Estimate,2,1,2.0,1.99%,105.00,-10.50,5.50,210,-21,11,,,,,,,,
,,Spec Item,"GAUGE, ROTARY FLOW SIGHT 1"" NPT F",TRUE,,Chris,Updated,WP 3800,Sideways,208200,Aft Bilge,Gauges,N/A,Each,McMaster-Carr Supply Co.,4195K17,https://www.mcmaster.com/#4195k17/=1dgglmd,Manufacturer,3,2,6.0,5.97%,108.50,0.00,5.50,651,0,33,,,,,,,,
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Aft Bilge,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,18,4.7,4.71%,106.00,0.00,5.50,502,0,26,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Aft Bilge,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,4,7.3,7.29%,108.50,0.00,5.50,794,0,40,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Aft Bilge,Piping,N/A,Lin. Ft.,,,,Calc,0.27,8,2.2,2.15%,108.50,0.00,5.50,234,0,12,,,,,,,Hose,"5/8"""
,,Spec Heading,Electrical Room HVAC System,TRUE,,Chris,Updated,,,,Control Room,,,,,,,,,,109.8,2.21%,103.22,7.14,12.17,11330,783,1335,,,,,,,,
,,Spec Item,"Air Handler, 12,000 btu, with Water Valve & FC",TRUE,,Chris,Updated,WP 3800,Down,235592,Control Room,HVAC Air Handlers,230vac,Each,Technicold,RA12B-FC,,Manufacturer,64,1,64.0,58.31%,104.00,7.30,12.50,6656,467,800,,,,,,,,
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Control Room,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,1,2.0,1.82%,97.50,5.20,11.00,195,10,22,,,No,,,,,
,,Spec Item,"5"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Control Room,Ducting,N/A,Lin. Ft.,,"5"" Rigid Ducting",,Calc,1.75,2,3.5,3.19%,104.00,7.30,10.00,364,26,35,,,,,,,,"5"""
,,Spec Item,"1.25"" PVC Pipe + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Control Room,Piping,N/A,Lin. Ft.,PVC,,,Calc,0.99,7,6.9,6.31%,97.50,5.20,13.25,676,36,92,,,,,,,PVC,"1.25"""
,,Spec Item,"1"" PVC Pipe + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Control Room,Piping,N/A,Lin. Ft.,PVC,,,Calc,0.721,15,10.8,9.85%,101.50,6.60,13.25,1098,71,143,,,,,,,PVC,"1.25"""
,,Spec Item,"1"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Control Room,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.421,12,5.1,4.60%,104.00,7.50,13.25,525,38,67,,,,,,,PEX,"1"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Control Room,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,2,0.5,0.48%,104.00,8.20,13.00,55,4,7,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Control Room,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,4,7.3,6.67%,104.00,7.70,10.00,761,56,73,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Control Room,Piping,N/A,Lin. Ft.,,,,Calc,0.27,6,1.6,1.48%,104.00,7.70,10.00,168,12,16,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Control Room,Plumbing Accessories,N/A,Each,,,,Estimate,2,4,8.0,7.29%,104.00,7.70,10.00,832,62,80,,,,,,,,
,,Spec Heading,Master Stateroom HVAC System,TRUE,,Chris,Updated,,,,Master Stateroom,,,,,,,,,,108.5,2.18%,38.56,-0.77,15.04,4186,-83,1632,,,,,,,,
,,Spec Heading,Port Master HVAC System,TRUE,,Chris,Updated,,,,Master Stateroom,,,,,,,,,,54.0,49.79%,30.19,-6.08,14.77,1632,-328,799,,,,,,,,
,,Spec Item,"Air Handler, 16K BTU HI VEL 230VAC with Water Valve, Heat & Flow Control",TRUE,,Chris,Updated,WP 3800,Sideways,235594,Master Stateroom,HVAC Air Handlers,230vac,Each,Technicold,RAVC18HB-FC,,Manufacturer,28.7,1,28.7,53.10%,29.50,-6.60,14.50,847,-189,416,,,No,,,,,
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Master Stateroom,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,1,2.0,3.70%,35.00,-6.00,18.50,70,-12,37,,,No,,,,,
,,Spec Item,Quiet Fan Assembly 208-230 VAC,TRUE,,Chris,Updated,WP 3800,Sideways,235631,Master Stateroom,HVAC Air Handlers,208-230vac,Each,Technicold,22-18915,,Estimate,6,1,6.0,11.10%,29.50,-7.00,14.50,177,-42,87,,,,,,,,
,,Spec Item,"5"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Master Stateroom,Ducting,N/A,Lin. Ft.,,"5"" Rigid Ducting",,Calc,1.75,3,5.3,9.71%,29.50,-7.00,17.00,155,-37,89,,,,,,,,"5"""
,,Spec Item,"1"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Master Stateroom,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.421,9.5,4.0,7.40%,35.30,0.00,13.25,141,0,53,,,,,,,PEX,"1"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Master Stateroom,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,10,2.6,4.87%,30.70,-3.80,14.00,81,-10,37,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Master Stateroom,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,2,3.7,6.77%,29.50,-7.00,14.50,108,-26,53,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Master Stateroom,Piping,N/A,Lin. Ft.,,,,Calc,0.27,3,0.8,1.50%,29.50,-7.00,14.50,24,-6,12,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Master Stateroom,Plumbing Accessories,N/A,Each,,,,Estimate,1,1,1.0,1.85%,29.50,-7.00,14.50,30,-7,15,,,,,,,,
,,Spec Heading,Starboard Master HVAC System,TRUE,,Chris,Updated,,,,Master Stateroom,,,,,,,,,,54.5,50.21%,46.86,4.50,15.30,2554,245,834,,,,,,,,
,,Spec Item,"Air Handler, 16K BTU HI VEL 230VAC with Water Valve, Heat & Flow Control",TRUE,,Chris,Updated,WP 3800,Sideways,235594,Master Stateroom,HVAC Air Handlers,230vac,Each,Technicold,RA16VHB-FC,,Manufacturer,28.7,1,28.7,52.66%,46.50,4.50,14.50,1335,129,416,,,No,,,,,
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Master Stateroom,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,0,0.0,0.00%,46.50,4.50,18.50,0,0,0,,,No,,,,,
,,Spec Item,Quiet Fan Assembly 208-230 VAC,TRUE,,Chris,Updated,WP 3800,Sideways,235631,Master Stateroom,HVAC Air Handlers,208-230vac,Each,Technicold,22-18915,,Estimate,6,0,0.0,0.00%,47.00,4.50,14.50,0,0,0,,,,,,,,
,,Spec Item,"6"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Master Stateroom,Ducting,N/A,Lin. Ft.,,"6"" Rigid Ducting",,Calc,2.2,8,17.6,32.30%,47.50,4.50,17.00,836,79,299,,,,,,,,"6"""
,,Spec Item,"3"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Master Stateroom,Ducting,N/A,Lin. Ft.,,"3"" Rigid Ducting",,Calc,1.1,2,2.2,4.04%,47.50,4.50,14.50,105,10,32,,,,,,,,"3"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Master Stateroom,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,2,0.5,0.97%,46.50,4.50,14.00,24,2,7,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Master Stateroom,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,2,3.7,6.72%,46.50,4.50,14.50,170,16,53,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Master Stateroom,Piping,N/A,Lin. Ft.,,,,Calc,0.27,3,0.8,1.49%,46.50,4.50,14.50,38,4,12,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Master Stateroom,Plumbing Accessories,N/A,Each,,,,Estimate,1,1,1.0,1.83%,46.50,4.50,14.50,47,5,15,,,,,,,,
,,Spec Heading,Master Bathroom HVAC System,TRUE,,Chris,Updated,,,,Master Bathroom,,,,,,,,,,109.3,2.20%,38.14,-7.17,15.45,4170,-784,1689,,,,,,,,
,,Spec Item,"Air Handler, 8,000btu, With Water Valve & Heat Strip & FC",TRUE,,Chris,Updated,WP 3800,Up,235590,Master Bathroom,HVAC Air Handlers,230vac,Each,Technicold,RA08HB-FC,,Manufacturer,59,1,59.0,53.96%,37.25,-7.90,14.50,2198,-466,856,,,,,,,,
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Master Bathroom,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,1,2.0,1.83%,37.25,-6.00,18.50,75,-12,37,,,No,,,,,
,,Spec Item,Quiet Fan Assembly 208-230 VAC,TRUE,,Chris,Updated,WP 3800,Sideways,235631,Master Bathroom,HVAC Air Handlers,208-230vac,Each,Technicold,22-18915,,Estimate,6,1,6.0,5.49%,37.25,-8.00,14.50,224,-48,87,,,,,,,,
,,Spec Item,"6"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Master Bathroom,Ducting,N/A,Lin. Ft.,,"6"" Rigid Ducting",,Calc,2.2,8,17.6,16.10%,38.00,-8.00,17.00,669,-141,299,,,,,,,,"6"""
,,Spec Item,"3"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Master Bathroom,Ducting,N/A,Lin. Ft.,,"3"" Rigid Ducting",,Calc,1.1,14,15.4,14.08%,41.00,-4.00,18.00,631,-62,277,,,,,,,,"3"""
,,Spec Item,"1"" PVC Pipe + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Master Bathroom,Piping,N/A,Lin. Ft.,PVC,,,Calc,0.721,1,0.7,0.66%,40.20,0.00,13.25,29,0,10,,,,,,,PVC,"1.25"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Master Bathroom,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,12,3.2,2.89%,40.00,-4.00,14.00,126,-13,44,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Master Bathroom,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,2,3.7,3.35%,40.00,-7.90,14.50,146,-29,53,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Master Bathroom,Piping,N/A,Lin. Ft.,,,,Calc,0.27,3,0.8,0.74%,40.00,-7.90,14.50,32,-6,12,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Master Bathroom,Plumbing Accessories,N/A,Each,,,,Estimate,1,1,1.0,0.91%,40.00,-7.90,14.50,40,-8,15,,,,,,,,
,,Spec Heading,Galley HVAC System,TRUE,,Chris,Updated,,,,Galley,,,,,,,,,,212.7,4.28%,48.02,-3.80,22.03,10214,-809,4687,,,,,,,,
,,Spec Item,"Air Handler, 12,000 btu, with Water Valve & Heat Strip & FC",TRUE,,Chris,Updated,WP 3800,Sideways,235591,Galley,HVAC Air Handlers,230vac,Each,Technicold,RA12HB-FC,,Manufacturer,64,2,128.0,60.17%,49.00,-4.50,22.50,6272,-576,2880,,,,,,,,
,,Spec Item,"HVAC Control Set , Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Galley,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,1,2.0,0.94%,48.00,-2.30,18.00,96,-5,36,,,No,,,,,
,,Spec Item,Quiet Fan Assembly 208-230 VAC,TRUE,,Chris,Updated,WP 3800,Sideways,235631,Galley,HVAC Air Handlers,208-230vac,Each,Technicold,22-18915,,Estimate,6,1,6.0,2.82%,49.00,-5.50,22.50,294,-33,135,,,,,,,,
,,Spec Item,"8"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Galley,Ducting,N/A,Lin. Ft.,,"8"" Rigid Ducting",,Calc,2.8,12,33.6,15.79%,45.50,-2.00,21.00,1529,-67,706,,,,,,,,"8"""
,,Spec Item,"6"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Galley,Ducting,N/A,Lin. Ft.,,"6"" Rigid Ducting",,Calc,2.2,12,26.4,12.41%,45.50,-2.00,21.00,1201,-53,554,,,,,,,,"6"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Galley,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,22,5.8,2.72%,49.50,-4.50,22.50,286,-26,130,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Galley,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,4,7.3,3.44%,49.00,-4.50,22.50,359,-33,165,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Galley,Piping,N/A,Lin. Ft.,,,,Calc,0.27,6,1.6,0.76%,49.00,-4.50,22.50,79,-7,36,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,,,Galley,Plumbing Accessories,N/A,Each,,,,Estimate,1,2,2.0,0.94%,49.00,-4.50,22.50,98,-9,45,,,,,,,,
,,Spec Heading,Pilothouse HVAC System,TRUE,,Chris,Updated,,,,Pilothouse,,,,,,,,,,235.2,4.73%,52.86,-0.51,21.47,12435,-120,5051,,,,,,,,
,,Spec Item,"Air Handler, 16K BTU HI VEL 230VAC with Water Valve, Heat & Flow Control",TRUE,,Chris,Updated,WP 3800,Sideways,235594,Pilothouse,HVAC Air Handlers,230vac,Each,Technicold,RAVC18HB-FC,,Manufacturer,28.7,1,28.7,12.20%,59.00,0.00,22.00,1693,0,631,,,No,,,,,
,,Spec Item,"Air Handler, 8K BTU 230VAC, Flow Control",TRUE,,Chris,Updated,WP 3800,Sideways,107649-01,Pilothouse,HVAC Air Handlers,230vac,Each,Technicold,RA8B-FC,,Manufacturer,59,1,59.0,25.08%,47.00,0.00,21.00,2773,0,1239,,,,,,,,
,,Spec Item,"HVAC Control Set, Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Pilothouse,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,2,4.0,1.70%,56.00,-6.00,18.00,224,-24,72,,,No,,,,,
,,Spec Item,Quiet Fan Assembly 208-230 VAC,TRUE,,Chris,Updated,WP 3800,Sideways,235631,Pilothouse,HVAC Air Handlers,208-230vac,Each,Technicold,22-18915,,Estimate,6,2,12.0,5.10%,56.00,-7.00,22.00,672,-84,264,,,,,,,,
,,Spec Item,"Heater, Dash 500CFM, 1 Phase",TRUE,,Chris,Updated,WP 3800,Sideways,235603,Pilothouse,Fans,230vac,Each,Technicold,DH500VB,,Manufacturer,25,2,50.0,21.25%,46.00,0.00,21.00,2300,0,1050,,,No,,,,,
,,Spec Item,"HVAC Control Set, Defroster",TRUE,,Chris,Updated,WP 3800,Sideways,106688-01,Pilothouse,HVAC Controls,N/A,Each,Technicold,22-00115,,Estimate,2,1,2.0,0.85%,51.00,-6.00,22.50,102,-12,45,,,No,,,,,
,,Spec Item,"6"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Pilothouse,Ducting,N/A,Lin. Ft.,,"6"" Rigid Ducting",,Calc,2.2,16,35.2,14.96%,58.00,0.00,22.00,2042,0,774,,,,,,,,"6"""
,,Spec Item,"1"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Attic,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.421,45,18.9,8.05%,61.00,0.00,22.00,1156,0,417,,,,,,,PEX,"1"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Pilothouse,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,38,10.0,4.25%,58.00,0.00,22.00,580,0,220,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Pilothouse,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,6,11.0,4.67%,58.00,0.00,22.00,637,0,242,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Pilothouse,Piping,N/A,Lin. Ft.,,,,Calc,0.27,9,2.4,1.03%,58.00,0.00,22.00,141,0,53,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings,TRUE,,Chris,Updated,WP 3800,Sideways,,Pilothouse,Plumbing Accessories,N/A,Each,,,,Estimate,1,2,2.0,0.85%,58.00,0.00,22.00,116,0,44,,,,,,,,
,,Spec Heading,HVAC Technical Space (Aft of Pilothouse) HVAC Systems For Dining and Salon Rooms,TRUE,,Chris,Updated,,,,Attic,,,,,,,,,,1267.4,25.48%,69.81,0.70,19.21,88474,885,24341,,,,,,,,
,,Spec Item,"Air Handler, 8,000btu, With Water Valve & Heat Strip & FC",TRUE,,Chris,Updated,WP 3800,Up,235590,Attic,HVAC Air Handlers,230vac,Each,Technicold,RA08HB-FC,,Manufacturer,59,3,177.0,13.97%,68.00,0.00,22.50,12036,0,3983,,,,,,,,
,,Spec Item,"Air Handler, 12,000 btu, with Water Valve & Heat Strip & FC",TRUE,,Chris,Updated,WP 3800,Sideways,235591,Attic,HVAC Air Handlers,230vac,Each,Technicold,RA12HB-FC,,Manufacturer,64,2,128.0,10.10%,81.00,0.00,22.50,10368,0,2880,,,,,,,,
,,Spec Item,"HVAC Control Set, Air Handler",TRUE,,Chris,Updated,WP 3800,Sideways,106686-01,Attic,HVAC Controls,N/A,Each,Technicold,22-08916,,Estimate,2,2,4.0,0.32%,73.30,-2.00,18.00,293,-8,72,,,No,,,,,
,,Spec Item,Quiet Fan Assembly 208-230 VAC,TRUE,,Chris,Updated,WP 3800,Sideways,235631,Attic,HVAC Air Handlers,208-230vac,Each,Technicold,22-18915,,Estimate,6,2,12.0,0.95%,70.00,0.00,22.50,840,0,270,,,,,,,,
