Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,Spec Item,"Unidirectional Fabric, E-Glass, E-LR 1708 (20X, Cap)",,,Gord,Updated,WP-3800,Down,101977-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Heading,Laminate Schedule 7,,,,,,,STFNR 1S LAM SCH 7,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Gord,Updated,WP-3800,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Gord,Updated,WP-3800,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Unidirectional Fabric,E-Glass, E-LR 1708 (13X, Cap)",,,Gord,Updated,WP-3800,Down,101977-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Heading,Laminate Schedule 12,,,,,,,STFNR 1S LAM SCH 12,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (3X, Top with Cap)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
